gene,name
B9J08_000512,YBR096W
B9J08_000513,TOM1
B9J08_000514,RAD52
B9J08_000515,UBA3
B9J08_000516,CLD1
B9J08_000517,FET31_FET3
B9J08_000518,APM3
B9J08_000519,DPM2
B9J08_000520,SRO77
B9J08_000521,B9J08_000521
B9J08_000522,DIA4
B9J08_000523,Oct-01
B9J08_000524,PKH3
B9J08_000525,MIX23
B9J08_000526,PPT1_SGT2
B9J08_000527,DID2
B9J08_000528,SOD2
B9J08_000529,VPS17
B9J08_000530,UGO1
B9J08_000531,SDC1
B9J08_000532,TLG1
B9J08_000533,SPT3
B9J08_000534,ELG1
B9J08_000535,SPP2
B9J08_000536,MDM31
B9J08_000537,PNO1
B9J08_000538,ARD1
B9J08_000539,TRS31
B9J08_000540,B9J08_000540
B9J08_000541,AHC1
B9J08_000542,PTP3
B9J08_000543,TRX1
B9J08_000544,CTM1
B9J08_000545,HCR1
B9J08_000546,AEP3
B9J08_000547,YHR182W
B9J08_000548,MFM1
B9J08_000549,KIC1
B9J08_000550,SWD3
B9J08_000551,VPS68
B9J08_000552,MCK1
B9J08_000553,MRPS18
B9J08_000554,RPL25
B9J08_000555,PXL1
B9J08_000556,TVP38
B9J08_000557,B9J08_000557
B9J08_000558,B9J08_000558
B9J08_000559,YJL068C
B9J08_000560,YLR287C
B9J08_000561,WAL1_LAS17
B9J08_000562,B9J08_000562
B9J08_000563,YNR029C
B9J08_000564,B9J08_000564
B9J08_000565,MRPL8
B9J08_000566,KSR1_TSC10
B9J08_000567,B9J08_000567
B9J08_000568,FRE3
B9J08_000569,MRPL4
B9J08_000570,SMX4_LSM3
B9J08_000571,B9J08_000571
B9J08_000572,SEC39
B9J08_000573,PIF1
B9J08_000574,PIF1
B9J08_000575,B9J08_000575
B9J08_000576,NTE1
B9J08_000577,BNA3
B9J08_000578,YLR352W
B9J08_000579,B9J08_000579
B9J08_000580,DSS4
B9J08_000581,B9J08_000581
B9J08_000582,HGT16_HXT8
B9J08_000583,B9J08_000583
B9J08_000584,GTS1
B9J08_000585,B9J08_000585
B9J08_000586,NUO4
B9J08_000587,PFY1
B9J08_000588,UBA2
B9J08_000589,DPM1
B9J08_000590,NRP1
B9J08_000591,CSC1
B9J08_000592,UME6
B9J08_000593,BEM1
B9J08_000594,B9J08_000594
B9J08_000595,B9J08_000595
B9J08_000596,YPK3
B9J08_000597,B9J08_000597
B9J08_000598,YUH1
B9J08_000599,THP3
B9J08_000600,B9J08_000600
B9J08_000601,DSF2
B9J08_000602,LKH1_LAP2
B9J08_000603,YIP3
B9J08_000604,RPS22A
B9J08_000605,RPS14B
B9J08_000606,B9J08_000606
B9J08_000607,MCH4
B9J08_000608,B9J08_000608
B9J08_000609,SLY41_YJL193W
B9J08_000610,BPH1
B9J08_000611,UBP12
B9J08_000612,RRP43
B9J08_000613,GLT1
B9J08_000614,ECM33
B9J08_000615,YDR262W
B9J08_000616,GGA2
B9J08_000617,CNL1
B9J08_000618,YLR326W
B9J08_000619,COQ4
B9J08_000620,VPS64
B9J08_000621,SPC19
B9J08_000622,LIP2
B9J08_000623,NVJ3
B9J08_000624,B9J08_000624
B9J08_000625,SDH4
B9J08_000626,NUE2
B9J08_000627,ERF2
B9J08_000628,SCC2
B9J08_000629,SAS4
B9J08_000630,CDC1
B9J08_000631,SEC10
B9J08_000632,UBI3_RPS31
B9J08_000633,PLP1
B9J08_000634,ATC1
B9J08_000635,UPS2
B9J08_000636,MAS1
B9J08_000637,NGG1
B9J08_000638,RSM24
B9J08_000639,YMR114C
B9J08_000640,YDL124W
B9J08_000641,B9J08_000641
B9J08_000642,YBL029W
B9J08_000643,SEC18
B9J08_000644,B9J08_000644
B9J08_000645,TSA1
B9J08_000646,HNT2
B9J08_000647,MED6
B9J08_000648,CYP5_CPR5
B9J08_000649,FYV4
B9J08_000650,LSC1
B9J08_000651,ARP8
B9J08_000652,B9J08_000652
B9J08_000653,B9J08_000653
B9J08_000654,SVF1
B9J08_000655,B9J08_000655
B9J08_000656,GRP2_GRE2
B9J08_000657,ADP1
B9J08_000658,UBP2
B9J08_000659,BCS1
B9J08_000660,B9J08_000660
B9J08_000661,SFL1
B9J08_000662,SOK1
B9J08_000663,B9J08_000663
B9J08_000664,B9J08_000664
B9J08_000665,RCF1
B9J08_000666,BUD7_BCH1
B9J08_000667,TAF9
B9J08_000668,THI80
B9J08_000669,B9J08_000669
B9J08_000670,HAM1
B9J08_000671,PAR32
B9J08_000672,B9J08_000672
B9J08_000673,FCF1
B9J08_000674,SIA1
B9J08_000675,RBR3_FLO9
B9J08_000676,B9J08_000676
B9J08_000677,ARR3
B9J08_000678,ALG13
B9J08_000679,TAF19_TAF13
B9J08_000680,SSM4
B9J08_000681,PMT1
B9J08_000682,GLO2
B9J08_000683,OCA2
B9J08_000684,VHR1
B9J08_000685,B9J08_000685
B9J08_000686,ARG1
B9J08_000687,B9J08_000687
B9J08_000688,JHD1
B9J08_000689,PDK2_PKP1
B9J08_000690,LDB17
B9J08_000691,PHO81
B9J08_000692,YRB1
B9J08_000693,CRM1
B9J08_000694,MDH1_MDH2
B9J08_000695,NTH1
B9J08_000696,COQ1
B9J08_000697,MRPL9
B9J08_000698,MRPL6
B9J08_000699,IMP3
B9J08_000700,SKG6
B9J08_000701,FRE10_FRE3
B9J08_000702,B9J08_000702
B9J08_000703,NAT4
B9J08_000704,CHD1
B9J08_000705,RLI1
B9J08_000706,VID21_EAF1
B9J08_000707,DLT1
B9J08_000708,SEN15
B9J08_000709,YMR244W
B9J08_000710,PUT3_ASG1
B9J08_000711,RPP0
B9J08_000712,B9J08_000712
B9J08_000713,MRPS16
B9J08_000714,RRP12
B9J08_000715,B9J08_000715
B9J08_000716,B9J08_000716
B9J08_000717,MSC3
B9J08_000718,YIL001W
B9J08_000719,DCS1
B9J08_000720,DBP7
B9J08_000721,RPC37
B9J08_000722,MFALPHA_MF(ALPHA)1
B9J08_000723,B9J08_000723
B9J08_000724,B9J08_000724
B9J08_000725,PAN2
B9J08_000726,TCO89
B9J08_000727,RPL39_RPL36A
B9J08_000728,MRPL24
B9J08_000729,SCH9
B9J08_000730,SNF6
B9J08_000731,GPI13
B9J08_000732,DUG3
B9J08_000733,SAP190
B9J08_000734,MRPL49
B9J08_000735,BCK1
B9J08_000736,SFI1
B9J08_000737,ECM39_ALG12
B9J08_000738,YNR029C
B9J08_000739,TIM54
B9J08_000740,GDH3
B9J08_000741,MMS21
B9J08_000742,NPP1
B9J08_000743,NIF3
B9J08_000744,B9J08_000744
B9J08_000745,B9J08_000745
B9J08_000746,BSC6
B9J08_000747,BOL2
B9J08_000748,LRG1
B9J08_000749,GPI15
B9J08_000750,BDP1
B9J08_000751,YNL035C
B9J08_000752,HDA1
B9J08_000753,PRK1_ARK1
B9J08_000754,RCM1
B9J08_000755,LYS12
B9J08_000756,DAL4
B9J08_000757,MGE1
B9J08_000758,ECM18
B9J08_000759,YPR003C
B9J08_000760,YPL107W
B9J08_000761,DPM3
B9J08_000762,TFC1
B9J08_000763,B9J08_000763
B9J08_000764,MDH1-1_MDH1
B9J08_000765,CAS5_MOT3
B9J08_000766,AAT22_AAT2
B9J08_000767,B9J08_000767
B9J08_000768,NEM1
B9J08_000769,B9J08_000769
B9J08_000770,PRP21
B9J08_000771,RPS6A
B9J08_000772,RLM1
B9J08_000773,SEC16
B9J08_000774,PAB1
B9J08_000775,TPS2
B9J08_000776,EHT1
B9J08_000777,ART5
B9J08_000778,SEC62
B9J08_000779,ATG21
B9J08_000780,EHD3
B9J08_000781,ARP7
B9J08_000782,CFL4_FRE1
B9J08_000783,B9J08_000783
B9J08_000784,MUM2
B9J08_000785,B9J08_000785
B9J08_000786,EST1_EBS1
B9J08_000787,DES1
B9J08_000788,HTS1
B9J08_000789,BNA2
B9J08_000790,RVS167
B9J08_000791,ZCF29_TBS1
B9J08_000792,B9J08_000792
B9J08_000793,ZCF18
B9J08_000794,ZCF18
B9J08_000795,B9J08_000795
B9J08_000796,YCR023C
B9J08_000797,YCR023C
B9J08_000798,DFI1
B9J08_000799,B9J08_000799
B9J08_000800,ADE13
B9J08_000801,DAD3
B9J08_000802,YGR026W
B9J08_000803,ARC40
B9J08_000804,B9J08_000804
B9J08_000805,ZCF19_ASG1
B9J08_000806,B9J08_000806
B9J08_000807,B9J08_000807
B9J08_000808,PGI1
B9J08_000809,YML108W
B9J08_000810,ARC15
B9J08_000811,NDL1
B9J08_000812,GRE3
B9J08_000813,AIM17
B9J08_000814,GYP8
B9J08_000815,SPT8
B9J08_000816,YNK1
B9J08_000817,B9J08_000817
B9J08_000818,CAF16
B9J08_000819,GCR3_STO1
B9J08_000820,SAM4
B9J08_000821,YCR061W
B9J08_000822,CBK1
B9J08_000823,RPL42_RPL42A
B9J08_000824,FGR41
B9J08_000825,B9J08_000825
B9J08_000826,BNI5
B9J08_000827,YJR142W
B9J08_000828,B9J08_000828
B9J08_000829,TRY5_YGR067C
B9J08_000830,B9J08_000830
B9J08_000831,KHA1
B9J08_000832,B9J08_000832
B9J08_000833,B9J08_000833
B9J08_000834,B9J08_000834
B9J08_000835,B9J08_000835
B9J08_000836,COQ11
B9J08_000837,PMR1
B9J08_000838,SUA5
B9J08_000839,KAP114
B9J08_000840,TVP15
B9J08_000841,SPO71
B9J08_000842,CST5_STE5
B9J08_000843,MTC1
B9J08_000844,B9J08_000844
B9J08_000845,NIT2
B9J08_000846,B9J08_000846
B9J08_000847,PDK2_PKP1
B9J08_000848,PEX13
B9J08_000849,ASR2
B9J08_000850,AIF1
B9J08_000851,B9J08_000851
B9J08_000852,RTT109
B9J08_000853,GPT1_UGA4
B9J08_000854,YGR017W
B9J08_000855,HHO1
B9J08_000856,DFR1
B9J08_000857,PPS1
B9J08_000858,AIM41
B9J08_000859,B9J08_000859
B9J08_000860,TAF14
B9J08_000861,STE4
B9J08_000862,TBF1
B9J08_000863,UGA1
B9J08_000864,YPR011C
B9J08_000865,YPR010C-A
B9J08_000866,YGR021W
B9J08_000867,VMA7
B9J08_000868,CHS5
B9J08_000869,DEP1
B9J08_000870,NOP12
B9J08_000871,LAP3
B9J08_000872,COG4
B9J08_000873,YTH1
B9J08_000874,OSM1
B9J08_000875,SPO7
B9J08_000876,GWT1
B9J08_000877,KES1
B9J08_000878,RPL33A
B9J08_000879,RUD3
B9J08_000880,RFC1
B9J08_000881,MKK2_MKK1
B9J08_000882,B9J08_000882
B9J08_000883,NOP53
B9J08_000884,B9J08_000884
B9J08_000885,B9J08_000885
B9J08_000886,NFU1
B9J08_000887,FUN30
B9J08_000888,ATS1
B9J08_000889,OPI10
B9J08_000890,B9J08_000890
B9J08_000891,B9J08_000891
B9J08_000892,B9J08_000892
B9J08_000893,B9J08_000893
B9J08_000894,ALB1
B9J08_000895,RPE1
B9J08_000896,HOL1
B9J08_000897,YGL242C
B9J08_000898,TAD1
B9J08_000899,FIS1
B9J08_000900,ALG8
B9J08_000901,PDC11_PDC1
B9J08_000902,TEA1
B9J08_000903,AVT4
B9J08_000904,LIG4_DNL4
B9J08_000905,REG1
B9J08_000906,B9J08_000906
B9J08_000907,MPH1
B9J08_000908,TMA20
B9J08_000909,PAC2
B9J08_000910,NUG1
